Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,IC50
CHEMBL3440841,,0,347.46,0,3.76,DDD01029580,CN(CC1CC1)c1ccc2ccc(C(=O)NCCc3ccccc3)cn12,PXC50,'=',4.121,,,,,,,,,,False,CHEMBL3988444,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v7. Dose response assay,F,BAO_0000019,assay format,Leishmania donovani,None,None,None,None,CHEMBL4105741,"Methionyl-tRNA synthetase, putative",Leishmania donovani (strain BPK282A1),SINGLE PROTEIN,CHEMBL3988442,33,Gates Library compound collection,,,None,0.4161655601807045
CHEMBL3988697,,0,412.52,0,1.95,DDD01712423,CS(=O)(=O)N1CCN(c2ccc3ccc(C(=O)NCc4ccccc4)cn23)CC1,PXC50,'=',4.731,,,,,,,,,,False,CHEMBL3988444,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v7. Dose response assay,F,BAO_0000019,assay format,Leishmania donovani,None,None,None,None,CHEMBL4105741,"Methionyl-tRNA synthetase, putative",Leishmania donovani (strain BPK282A1),SINGLE PROTEIN,CHEMBL3988442,33,Gates Library compound collection,,,None,0.2781248158883739
CHEMBL3988963,,0,340.5,0,4.08,DDD00272345,CCc1ccc(CN(C)Cc2nc(N)c3c(C)c(C)sc3n2)cc1,PXC50,'<',4.0,,,,,,,,,,False,CHEMBL3988444,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v7. Dose response assay,F,BAO_0000019,assay format,Leishmania donovani,None,None,None,None,CHEMBL4105741,"Methionyl-tRNA synthetase, putative",Leishmania donovani (strain BPK282A1),SINGLE PROTEIN,CHEMBL3988442,33,Gates Library compound collection,,,None,0.4459670514174942
CHEMBL3989068,,0,309.35,0,3.85,DDD01012098,CCNc1cc(-c2ccccn2)nc(Nc2ccc(F)cc2)n1,PXC50,'<',4.0,,,,,,,,,,False,CHEMBL3988444,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v7. Dose response assay,F,BAO_0000019,assay format,Leishmania donovani,None,None,None,None,CHEMBL4105741,"Methionyl-tRNA synthetase, putative",Leishmania donovani (strain BPK282A1),SINGLE PROTEIN,CHEMBL3988442,33,Gates Library compound collection,,,None,0.4459670514174942
CHEMBL3989121,,0,305.4,0,3.02,DDD01043521,CCc1nc(NCCCC(=O)O)c2c3c(sc2n1)CCC3,PXC50,'<',4.0,,,,,,,,,,False,CHEMBL3988444,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v7. Dose response assay,F,BAO_0000019,assay format,Leishmania donovani,None,None,None,None,CHEMBL4105741,"Methionyl-tRNA synthetase, putative",Leishmania donovani (strain BPK282A1),SINGLE PROTEIN,CHEMBL3988442,33,Gates Library compound collection,,,None,0.4459670514174942
CHEMBL3988832,,0,388.42,0,3.75,DDD01715474,COC1CCCC(Nc2nc(Nc3ccc(F)c(F)c3)nc3c2cnn3C)C1,PXC50,'=',5.157,,,,,,,,,,False,CHEMBL3988444,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v7. Dose response assay,F,BAO_0000019,assay format,Leishmania donovani,None,None,None,None,CHEMBL4105741,"Methionyl-tRNA synthetase, putative",Leishmania donovani (strain BPK282A1),SINGLE PROTEIN,CHEMBL3988442,33,Gates Library compound collection,,,None,0.1919063974685629
CHEMBL3440732,,0,342.44,0,1.60,DDD01029298,COCCN1CCN(c2ccc3ccc(C(=O)NC4CC4)cn23)CC1,PXC50,'<',4.0,,,,,,,,,,False,CHEMBL3988444,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v7. Dose response assay,F,BAO_0000019,assay format,Leishmania donovani,None,None,None,None,CHEMBL4105741,"Methionyl-tRNA synthetase, putative",Leishmania donovani (strain BPK282A1),SINGLE PROTEIN,CHEMBL3988442,33,Gates Library compound collection,,,None,0.4459670514174942
CHEMBL3988666,,0,447.56,0,0.76,DDD01712127,CC(=O)N1CCCC(NC(=O)c2ccc3ccc(N4CCN(S(C)(=O)=O)CC4)n3c2)C1,PXC50,'=',4.81,,,,,,,,,,False,CHEMBL3988444,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v7. Dose response assay,F,BAO_0000019,assay format,Leishmania donovani,None,None,None,None,CHEMBL4105741,"Methionyl-tRNA synthetase, putative",Leishmania donovani (strain BPK282A1),SINGLE PROTEIN,CHEMBL3988442,33,Gates Library compound collection,,,None,0.2615643284197151
CHEMBL3989177,,0,404.54,0,2.00,DDD01714184,Cc1cc(C(=O)NC2CCCC2)cn2c(N3CCN(S(C)(=O)=O)CC3)ccc12,PXC50,'=',4.671,,,,,,,,,,False,CHEMBL3988444,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v7. Dose response assay,F,BAO_0000019,assay format,Leishmania donovani,None,None,None,None,CHEMBL4105741,"Methionyl-tRNA synthetase, putative",Leishmania donovani (strain BPK282A1),SINGLE PROTEIN,CHEMBL3988442,33,Gates Library compound collection,,,None,0.2908882310174139
CHEMBL3988766,,0,348.31,0,1.97,DDD01715039,COC(=O)CNc1nc(Nc2ccc(F)c(F)c2)nc2c1cnn2C,PXC50,'=',5.832,,,,,,,,,,False,CHEMBL3988444,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v7. Dose response assay,F,BAO_0000019,assay format,Leishmania donovani,None,None,None,None,CHEMBL4105741,"Methionyl-tRNA synthetase, putative",Leishmania donovani (strain BPK282A1),SINGLE PROTEIN,CHEMBL3988442,33,Gates Library compound collection,,,None,0.0689014178310278
CHEMBL3989281,,0,354.36,0,3.86,DDD01714442,OCCNc1nc(Nc2cccc(C(F)(F)F)c2)nc2ccsc12,PXC50,'<',4.0,,,,,,,,,,False,CHEMBL3988444,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v7. Dose response assay,F,BAO_0000019,assay format,Leishmania donovani,None,None,None,None,CHEMBL4105741,"Methionyl-tRNA synthetase, putative",Leishmania donovani (strain BPK282A1),SINGLE PROTEIN,CHEMBL3988442,33,Gates Library compound collection,,,None,0.4459670514174942
CHEMBL3989212,,0,331.44,0,3.04,DDD01043519,CCc1nc(N2CCC(C(=O)O)CC2)c2c3c(sc2n1)CCC3,PXC50,'<',4.0,,,,,,,,,,False,CHEMBL3988444,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v7. Dose response assay,F,BAO_0000019,assay format,Leishmania donovani,None,None,None,None,CHEMBL4105741,"Methionyl-tRNA synthetase, putative",Leishmania donovani (strain BPK282A1),SINGLE PROTEIN,CHEMBL3988442,33,Gates Library compound collection,,,None,0.4459670514174942
CHEMBL3989217,,0,432.51,0,0.68,DDD01712392,Cc1noc(CCNC(=O)c2ccc3ccc(N4CCN(S(C)(=O)=O)CC4)n3c2)n1,PXC50,'=',4.738,,,,,,,,,,False,CHEMBL3988444,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v7. Dose response assay,F,BAO_0000019,assay format,Leishmania donovani,None,None,None,None,CHEMBL4105741,"Methionyl-tRNA synthetase, putative",Leishmania donovani (strain BPK282A1),SINGLE PROTEIN,CHEMBL3988442,33,Gates Library compound collection,,,None,0.2766463068007911
CHEMBL3988666,,0,447.56,0,0.76,DDD01712127,CC(=O)N1CCCC(NC(=O)c2ccc3ccc(N4CCN(S(C)(=O)=O)CC4)n3c2)C1,PXC50,'=',4.996,,,,,,,,,,False,CHEMBL3988444,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v7. Dose response assay,F,BAO_0000019,assay format,Leishmania donovani,None,None,None,None,CHEMBL4105741,"Methionyl-tRNA synthetase, putative",Leishmania donovani (strain BPK282A1),SINGLE PROTEIN,CHEMBL3988442,33,Gates Library compound collection,,,None,0.2236238202740535
CHEMBL3440732,,0,342.44,0,1.60,DDD01029298,COCCN1CCN(c2ccc3ccc(C(=O)NC4CC4)cn23)CC1,PXC50,'<',4.0,,,,,,,,,,False,CHEMBL3988444,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v7. Dose response assay,F,BAO_0000019,assay format,Leishmania donovani,None,None,None,None,CHEMBL4105741,"Methionyl-tRNA synthetase, putative",Leishmania donovani (strain BPK282A1),SINGLE PROTEIN,CHEMBL3988442,33,Gates Library compound collection,,,None,0.4459670514174942
CHEMBL3440839,,0,301.39,0,2.16,DDD01029578,COCCNC(=O)c1ccc2ccc(N(C)CC3CC3)n2c1,PXC50,'<',4.0,,,,,,,,,,False,CHEMBL3988444,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v7. Dose response assay,F,BAO_0000019,assay format,Leishmania donovani,None,None,None,None,CHEMBL4105741,"Methionyl-tRNA synthetase, putative",Leishmania donovani (strain BPK282A1),SINGLE PROTEIN,CHEMBL3988442,33,Gates Library compound collection,,,None,0.4459670514174942
CHEMBL3989201,,0,363.4,0,0.16,DDD01712187,Cn1ncc2c(NCCO)nc(Nc3ccccc3S(N)(=O)=O)nc21,PXC50,'<',4.0,,,,,,,,,,False,CHEMBL3988444,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v7. Dose response assay,F,BAO_0000019,assay format,Leishmania donovani,None,None,None,None,CHEMBL4105741,"Methionyl-tRNA synthetase, putative",Leishmania donovani (strain BPK282A1),SINGLE PROTEIN,CHEMBL3988442,33,Gates Library compound collection,,,None,0.4459670514174942
CHEMBL3989131,,0,338.38,0,3.83,DDD01294042,Cc1ccc(-c2cc(C(F)(F)F)nc(NCCCN(C)C)n2)cc1,PXC50,'<',4.0,,,,,,,,,,False,CHEMBL3988444,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v7. Dose response assay,F,BAO_0000019,assay format,Leishmania donovani,None,None,None,None,CHEMBL4105741,"Methionyl-tRNA synthetase, putative",Leishmania donovani (strain BPK282A1),SINGLE PROTEIN,CHEMBL3988442,33,Gates Library compound collection,,,None,0.4459670514174942
CHEMBL3989062,,0,278.32,0,-0.40,DDD01712692,Cn1ncc2c(NCCO)nc(N3CCOCC3)nc21,PXC50,'<',4.0,,,,,,,,,,False,CHEMBL3988444,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v7. Dose response assay,F,BAO_0000019,assay format,Leishmania donovani,None,None,None,None,CHEMBL4105741,"Methionyl-tRNA synthetase, putative",Leishmania donovani (strain BPK282A1),SINGLE PROTEIN,CHEMBL3988442,33,Gates Library compound collection,,,None,0.4459670514174942
CHEMBL3989107,,0,400.38,0,2.34,DDD01715075,NS(=O)(=O)c1cccnc1Nc1cc(C(=O)N2CCC2)cc(C(F)(F)F)c1,PXC50,'<',4.0,,,,,,,,,,False,CHEMBL3988444,Leishmania donovani Methionine tRNA synthetase (LdMetRS):v7. Dose response assay,F,BAO_0000019,assay format,Leishmania donovani,None,None,None,None,CHEMBL4105741,"Methionyl-tRNA synthetase, putative",Leishmania donovani (strain BPK282A1),SINGLE PROTEIN,CHEMBL3988442,33,Gates Library compound collection,,,None,0.4459670514174942
